subscription_id,user_id,plan_type,start_date,end_date,monthly_price,subscription_status,renewal_status
SUB00000095,100053,Free,2024-01-06,2025-01-06,0,Ended,Renewed
SUB00000096,100053,Free,2025-01-07,2025-04-07,0,Active,Renewed
SUB00000097,100054,Free,2023-12-06,2024-09-06,0,Ended,Renewed
SUB00000098,100054,Pro,2024-09-07,2025-01-07,49,Active,Renewed
SUB00000099,100055,Free,2025-05-21,2025-09-21,0,Active,Renewed
SUB00000100,100056,Free,2023-06-26,2023-08-26,0,Expired,Not Renewed
SUB00000101,100057,Basic,2026-07-11,2026-08-31,19,Ended,Renewed
SUB00000102,100058,Free,2022-03-30,2023-01-30,0,Cancelled,Cancelled
SUB00000103,100059,Free,2026-02-03,2026-08-03,0,Ended,Renewed
SUB00000104,100059,Free,2026-08-04,2026-08-31,0,Active,Pending
SUB00000105,100060,Basic,2024-07-29,2025-01-29,19,Ended,Renewed
SUB00000106,100060,Basic,2025-01-30,2025-10-30,19,Active,Renewed
SUB00000107,100061,Free,2025-01-03,2025-03-03,0,Ended,Renewed
SUB00000108,100061,Basic,2025-03-04,2026-03-04,19,Active,Renewed
SUB00000109,100062,Free,2022-09-13,2023-03-13,0,Active,Renewed
SUB00000110,100063,Free,2024-02-15,2024-10-15,0,Active,Renewed
SUB00000111,100064,Free,2022-06-11,2022-12-11,0,Ended,Renewed
SUB00000112,100064,Free,2022-12-12,2023-08-12,0,Cancelled,Cancelled
SUB00000113,100065,Pro,2025-02-04,2025-12-04,49,Ended,Renewed
SUB00000114,100065,Pro,2025-12-05,2026-08-31,49,Ended,Renewed
SUB00000115,100066,Free,2023-08-24,2024-07-24,0,Ended,Renewed
SUB00000116,100066,Free,2024-07-25,2025-02-25,0,Active,Renewed
SUB00000117,100067,Free,2026-08-26,2026-08-31,0,Active,Pending
SUB00000118,100068,Free,2025-07-11,2025-11-11,0,Active,Renewed
SUB00000119,100069,Free,2025-06-20,2025-11-20,0,Cancelled,Cancelled
SUB00000120,100070,Free,2024-01-11,2024-05-11,0,Expired,Not Renewed
SUB00000121,100071,Free,2025-03-28,2025-12-28,0,Ended,Renewed
SUB00000122,100071,Free,2025-12-29,2026-01-29,0,Ended,Renewed
SUB00000123,100071,Basic,2026-01-30,2026-08-30,19,Active,Renewed
SUB00000124,100072,Free,2023-01-29,2023-08-29,0,Active,Renewed
SUB00000125,100073,Free,2025-12-13,2026-08-31,0,Ended,Renewed
SUB00000126,100074,Pro,2022-05-23,2022-09-23,49,Active,Renewed
SUB00000127,100075,Basic,2022-04-04,2022-07-04,19,Ended,Renewed
SUB00000128,100075,Basic,2022-07-05,2023-03-05,19,Active,Renewed
SUB00000129,100076,Free,2025-09-16,2026-02-16,0,Active,Renewed
SUB00000130,100077,Free,2023-04-12,2023-05-12,0,Ended,Renewed
SUB00000131,100077,Free,2023-05-13,2023-09-13,0,Ended,Renewed
SUB00000132,100077,Free,2023-09-14,2024-08-14,0,Ended,Renewed
SUB00000133,100077,Basic,2024-08-15,2025-05-15,19,Active,Renewed
SUB00000134,100078,Free,2026-05-03,2026-08-31,0,Ended,Renewed
SUB00000135,100079,Free,2023-08-16,2023-11-16,0,Ended,Renewed
SUB00000136,100079,Free,2023-11-17,2023-12-17,0,Expired,Not Renewed
SUB00000137,100080,Free,2022-06-13,2023-01-13,0,Ended,Renewed
SUB00000138,100080,Free,2023-01-14,2024-01-14,0,Ended,Renewed
SUB00000139,100080,Free,2024-01-15,2024-08-15,0,Active,Renewed
SUB00000140,100081,Free,2023-04-22,2023-05-22,0,Expired,Not Renewed
SUB00000141,100082,Free,2022-07-26,2023-03-26,0,Expired,Not Renewed
SUB00000142,100083,Basic,2024-02-18,2024-06-18,19,Ended,Renewed
SUB00000143,100083,Basic,2024-06-19,2025-05-19,19,Ended,Renewed
SUB00000144,100083,Basic,2025-05-20,2026-01-20,19,Active,Renewed
SUB00000145,100084,Free,2023-07-24,2024-02-24,0,Active,Renewed
SUB00000146,100085,Basic,2024-07-17,2025-01-17,19,Expired,Not Renewed
SUB00000147,100086,Free,2025-07-25,2026-02-25,0,Active,Renewed
SUB00000148,100087,Free,2024-01-18,2024-05-18,0,Active,Renewed
SUB00000149,100088,Free,2022-11-30,2023-07-30,0,Active,Renewed
SUB00000150,100089,Free,2024-01-29,2024-03-29,0,Ended,Renewed
SUB00000151,100089,Free,2024-03-30,2025-01-30,0,Ended,Renewed
SUB00000152,100089,Basic,2025-01-31,2025-08-31,19,Ended,Renewed
SUB00000153,100089,Pro,2025-09-01,2026-08-01,49,Active,Renewed
SUB00000154,100090,Free,2023-12-29,2024-12-29,0,Ended,Renewed
SUB00000155,100090,Free,2024-12-30,2025-06-30,0,Ended,Renewed
SUB00000156,100090,Free,2025-07-01,2026-06-01,0,Ended,Renewed
SUB00000157,100090,Free,2026-06-02,2026-08-31,0,Active,Pending
SUB00000158,100091,Free,2023-03-06,2023-05-06,0,Expired,Not Renewed
SUB00000159,100092,Free,2025-10-04,2026-05-04,0,Active,Renewed
SUB00000160,100093,Free,2023-07-01,2024-02-01,0,Active,Renewed
SUB00000161,100094,Free,2025-12-08,2026-08-31,0,Cancelled,Cancelled
SUB00000162,100095,Free,2025-10-31,2026-08-31,0,Ended,Renewed
SUB00000163,100096,Pro,2025-08-20,2025-11-20,49,Ended,Renewed
SUB00000164,100096,Pro,2025-11-21,2026-04-21,49,Ended,Renewed
SUB00000165,100096,Pro,2026-04-22,2026-07-22,49,Active,Renewed
SUB00000166,100097,Free,2022-05-27,2023-05-27,0,Active,Renewed
SUB00000167,100098,Free,2025-06-01,2026-04-01,0,Active,Renewed
SUB00000168,100099,Free,2025-07-24,2026-05-24,0,Active,Renewed
SUB00000169,100100,Basic,2022-12-17,2023-12-17,19,Ended,Renewed
SUB00000170,100100,Free,2023-12-18,2024-09-18,0,Ended,Renewed
SUB00000171,100100,Free,2024-09-19,2025-07-19,0,Ended,Renewed
SUB00000172,100100,Free,2025-07-20,2026-01-20,0,Active,Renewed
SUB00000173,100101,Free,2024-12-29,2025-06-29,0,Active,Renewed
SUB00000174,100102,Free,2026-02-02,2026-08-31,0,Ended,Renewed
SUB00000175,100103,Free,2023-05-17,2023-07-17,0,Ended,Renewed
SUB00000176,100103,Free,2023-07-18,2024-06-18,0,Ended,Renewed
SUB00000177,100103,Free,2024-06-19,2025-03-19,0,Active,Renewed
SUB00000178,100104,Free,2022-12-01,2023-11-01,0,Cancelled,Cancelled
SUB00000179,100105,Free,2024-08-04,2024-10-04,0,Ended,Renewed
SUB00000180,100105,Free,2024-10-05,2025-02-05,0,Ended,Renewed
SUB00000181,100105,Pro,2025-02-06,2026-01-06,49,Active,Renewed
SUB00000182,100106,Free,2024-02-17,2024-04-17,0,Expired,Not Renewed
SUB00000183,100107,Enterprise,2023-07-07,2024-06-07,149,Ended,Renewed
SUB00000184,100107,Enterprise,2024-06-08,2025-03-08,149,Ended,Renewed
SUB00000185,100107,Enterprise,2025-03-09,2026-01-09,149,Active,Renewed
SUB00000186,100108,Free,2025-08-03,2026-05-03,0,Ended,Renewed
SUB00000187,100108,Free,2026-05-04,2026-08-31,0,Ended,Renewed
SUB00000188,100109,Free,2025-11-10,2026-02-10,0,Ended,Renewed
SUB00000189,100109,Free,2026-02-11,2026-08-31,0,Active,Pending
SUB00000190,100110,Free,2025-02-14,2025-06-14,0,Ended,Renewed
SUB00000191,100110,Free,2025-06-15,2026-01-15,0,Active,Renewed
SUB00000192,100111,Pro,2023-03-26,2024-02-26,49,Ended,Renewed
SUB00000193,100111,Pro,2024-02-27,2024-12-27,49,Active,Renewed
SUB00000194,100112,Enterprise,2025-11-03,2026-07-03,149,Active,Renewed
SUB00000195,100113,Free,2023-10-27,2024-03-27,0,Active,Renewed
SUB00000196,100114,Basic,2026-04-23,2026-08-31,19,Ended,Renewed
SUB00000197,100115,Basic,2026-05-09,2026-08-31,19,Active,Pending
SUB00000198,100116,Pro,2022-04-25,2023-01-25,49,Ended,Renewed
SUB00000199,100116,Pro,2023-01-26,2023-04-26,49,Active,Renewed
SUB00000200,100117,Basic,2023-04-15,2024-02-15,19,Ended,Renewed
SUB00000201,100117,Basic,2024-02-16,2024-05-16,19,Active,Renewed
SUB00000202,100118,Pro,2026-08-11,2026-08-31,49,Ended,Renewed
SUB00000203,100119,Free,2022-03-07,2022-09-07,0,Expired,Not Renewed
SUB00000204,100120,Basic,2026-07-07,2026-08-31,19,Ended,Renewed
SUB00000205,100121,Free,2023-10-09,2024-02-09,0,Expired,Not Renewed
SUB00000206,100122,Free,2024-04-01,2024-12-01,0,Expired,Not Renewed
SUB00000207,100123,Basic,2023-07-03,2024-02-03,19,Ended,Renewed
SUB00000208,100123,Basic,2024-02-04,2024-12-04,19,Active,Renewed
SUB00000209,100124,Free,2022-05-16,2023-02-16,0,Ended,Renewed
SUB00000210,100124,Basic,2023-02-17,2023-03-17,19,Expired,Not Renewed
SUB00000211,100125,Free,2023-03-09,2023-06-09,0,Ended,Renewed
SUB00000212,100125,Basic,2023-06-10,2023-10-10,19,Expired,Not Renewed
SUB00000213,100126,Free,2025-03-07,2025-12-07,0,Active,Renewed
SUB00000214,100127,Free,2026-01-10,2026-08-10,0,Ended,Renewed
SUB00000215,100127,Free,2026-08-11,2026-08-31,0,Ended,Renewed
SUB00000216,100128,Basic,2023-10-07,2024-10-07,19,Ended,Renewed
SUB00000217,100128,Basic,2024-10-08,2025-06-08,19,Active,Renewed
SUB00000218,100129,Free,2023-03-12,2023-06-12,0,Active,Renewed
SUB00000219,100130,Free,2025-09-04,2026-01-04,0,Ended,Renewed
SUB00000220,100130,Free,2026-01-05,2026-08-31,0,Ended,Renewed
SUB00000221,100131,Free,2024-10-19,2025-03-19,0,Active,Renewed
SUB00000222,100132,Free,2024-03-21,2024-07-21,0,Expired,Not Renewed
SUB00000223,100133,Free,2025-08-09,2026-04-09,0,Active,Renewed
SUB00000224,100134,Free,2024-07-28,2024-09-28,0,Ended,Renewed
SUB00000225,100134,Free,2024-09-29,2024-12-29,0,Ended,Renewed
SUB00000226,100134,Free,2024-12-30,2025-04-30,0,Active,Renewed
SUB00000227,100135,Free,2022-10-20,2023-08-20,0,Ended,Renewed
SUB00000228,100135,Free,2023-08-21,2024-03-21,0,Ended,Renewed
SUB00000229,100135,Free,2024-03-22,2025-03-22,0,Ended,Renewed
SUB00000230,100135,Basic,2025-03-23,2025-09-23,19,Active,Renewed
SUB00000231,100136,Basic,2023-06-27,2024-04-27,19,Ended,Renewed
SUB00000232,100136,Basic,2024-04-28,2025-02-28,19,Ended,Renewed
SUB00000233,100136,Basic,2025-03-01,2025-11-01,19,Active,Renewed
SUB00000234,100137,Basic,2022-10-13,2022-12-13,19,Ended,Renewed
SUB00000235,100137,Basic,2022-12-14,2023-08-14,19,Active,Renewed
SUB00000236,100138,Basic,2023-05-21,2023-12-21,19,Expired,Not Renewed
SUB00000237,100139,Free,2026-03-06,2026-08-31,0,Cancelled,Cancelled
SUB00000238,100140,Free,2025-02-23,2025-09-23,0,Ended,Renewed
SUB00000239,100140,Basic,2025-09-24,2026-08-24,19,Ended,Renewed
SUB00000240,100140,Basic,2026-08-25,2026-08-31,19,Active,Pending
SUB00000241,100141,Free,2025-01-08,2025-09-08,0,Ended,Renewed
SUB00000242,100141,Free,2025-09-09,2026-08-31,0,Cancelled,Cancelled
SUB00000243,100142,Basic,2023-06-23,2023-12-23,19,Ended,Renewed
SUB00000244,100142,Basic,2023-12-24,2024-04-24,19,Active,Renewed
SUB00000245,100143,Free,2026-03-10,2026-08-31,0,Ended,Renewed
SUB00000246,100144,Basic,2025-04-12,2026-03-12,19,Ended,Renewed
SUB00000247,100144,Basic,2026-03-13,2026-06-13,19,Active,Renewed
SUB00000248,100145,Free,2024-05-27,2025-03-27,0,Active,Renewed
SUB00000249,100146,Free,2025-04-10,2025-10-10,0,Ended,Renewed
SUB00000250,100146,Free,2025-10-11,2026-08-11,0,Ended,Renewed
SUB00000251,100146,Free,2026-08-12,2026-08-31,0,Active,Pending
SUB00000252,100147,Basic,2024-03-28,2024-12-28,19,Cancelled,Cancelled
SUB00000253,100148,Free,2024-01-12,2024-10-12,0,Active,Renewed
SUB00000254,100149,Free,2023-03-26,2024-03-26,0,Ended,Renewed
SUB00000255,100149,Free,2024-03-27,2025-03-27,0,Ended,Renewed
SUB00000256,100149,Free,2025-03-28,2025-06-28,0,Active,Renewed
SUB00000257,100150,Pro,2022-10-11,2023-03-11,49,Ended,Renewed
SUB00000258,100150,Pro,2023-03-12,2023-11-12,49,Active,Renewed
SUB00000259,100151,Free,2024-11-09,2025-06-09,0,Ended,Renewed
SUB00000260,100151,Free,2025-06-10,2026-05-10,0,Active,Renewed
SUB00000261,100152,Free,2024-10-07,2025-03-07,0,Ended,Renewed
SUB00000262,100152,Free,2025-03-08,2025-07-08,0,Ended,Renewed
SUB00000263,100152,Basic,2025-07-09,2025-11-09,19,Active,Renewed
SUB00000264,100153,Free,2022-07-06,2023-07-06,0,Ended,Renewed
SUB00000265,100153,Basic,2023-07-07,2024-03-07,19,Ended,Renewed
SUB00000266,100153,Basic,2024-03-08,2025-01-08,19,Ended,Renewed
SUB00000267,100153,Basic,2025-01-09,2025-12-09,19,Active,Renewed
SUB00000268,100154,Free,2026-03-28,2026-07-28,0,Ended,Renewed
SUB00000269,100154,Free,2026-07-29,2026-08-31,0,Ended,Renewed
SUB00000270,100155,Free,2022-04-07,2022-07-07,0,Active,Renewed
SUB00000271,100156,Free,2022-08-13,2022-11-13,0,Active,Renewed
SUB00000272,100157,Pro,2022-11-10,2023-11-10,49,Cancelled,Cancelled
SUB00000273,100158,Free,2025-07-09,2026-03-09,0,Expired,Not Renewed
SUB00000274,100159,Free,2022-11-24,2023-07-24,0,Expired,Not Renewed
SUB00000275,100160,Pro,2026-06-11,2026-07-11,49,Cancelled,Cancelled
SUB00000276,100161,Basic,2025-10-25,2025-12-25,19,Ended,Renewed
SUB00000277,100161,Basic,2025-12-26,2026-07-26,19,Ended,Renewed
SUB00000278,100161,Basic,2026-07-27,2026-08-31,19,Active,Pending
SUB00000279,100162,Basic,2024-05-14,2024-06-14,19,Ended,Renewed
SUB00000280,100162,Pro,2024-06-15,2025-01-15,49,Active,Renewed
SUB00000281,100163,Free,2025-05-06,2026-04-06,0,Active,Renewed
SUB00000282,100164,Basic,2022-05-11,2023-03-11,19,Ended,Renewed
SUB00000283,100164,Basic,2023-03-12,2024-02-12,19,Active,Renewed
SUB00000284,100165,Free,2024-02-28,2024-07-28,0,Ended,Renewed
SUB00000285,100165,Free,2024-07-29,2025-02-28,0,Ended,Renewed
SUB00000286,100165,Free,2025-03-01,2026-01-01,0,Ended,Renewed
SUB00000287,100165,Pro,2026-01-02,2026-05-02,49,Active,Renewed
SUB00000288,100166,Basic,2024-02-21,2024-08-21,19,Active,Renewed
SUB00000289,100167,Free,2025-05-05,2025-11-05,0,Active,Renewed
SUB00000290,100168,Free,2024-08-16,2025-04-16,0,Expired,Not Renewed
SUB00000291,100169,Basic,2024-12-19,2025-01-19,19,Ended,Renewed
SUB00000292,100169,Basic,2025-01-20,2025-08-20,19,Active,Renewed
SUB00000293,100170,Free,2023-05-30,2024-04-30,0,Ended,Renewed
SUB00000294,100170,Free,2024-05-01,2024-12-01,0,Active,Renewed
SUB00000295,100171,Free,2025-02-07,2026-01-07,0,Ended,Renewed
SUB00000296,100171,Free,2026-01-08,2026-07-08,0,Active,Renewed
SUB00000297,100172,Free,2022-01-24,2022-12-24,0,Ended,Renewed
SUB00000298,100172,Basic,2022-12-25,2023-05-25,19,Active,Renewed
SUB00000299,100173,Free,2025-10-25,2026-08-31,0,Active,Pending
SUB00000300,100174,Free,2026-01-16,2026-08-31,0,Ended,Renewed
SUB00000301,100175,Free,2022-08-23,2023-03-23,0,Active,Renewed
SUB00000302,100176,Free,2025-10-28,2026-07-28,0,Ended,Renewed
SUB00000303,100176,Free,2026-07-29,2026-08-31,0,Ended,Renewed
SUB00000304,100177,Free,2025-01-04,2025-04-04,0,Active,Renewed
SUB00000305,100178,Free,2026-03-18,2026-08-31,0,Ended,Renewed
SUB00000306,100179,Free,2023-07-01,2023-11-01,0,Active,Renewed
SUB00000307,100180,Free,2026-04-24,2026-08-31,0,Ended,Renewed
SUB00000308,100181,Free,2025-08-05,2025-09-05,0,Ended,Renewed
SUB00000309,100181,Free,2025-09-06,2026-04-06,0,Active,Renewed
SUB00000310,100182,Pro,2023-11-28,2024-02-28,49,Ended,Renewed
SUB00000311,100182,Pro,2024-02-29,2025-01-29,49,Ended,Renewed
SUB00000312,100182,Pro,2025-01-30,2025-08-30,49,Active,Renewed
SUB00000313,100183,Free,2022-08-17,2023-07-17,0,Ended,Renewed
SUB00000314,100183,Free,2023-07-18,2023-11-18,0,Active,Renewed
SUB00000315,100184,Free,2023-08-25,2024-02-25,0,Ended,Renewed
SUB00000316,100184,Free,2024-02-26,2024-07-26,0,Active,Renewed
SUB00000317,100185,Free,2024-06-09,2024-11-09,0,Ended,Renewed
SUB00000318,100185,Free,2024-11-10,2025-08-10,0,Active,Renewed
SUB00000319,100186,Free,2022-11-20,2023-07-20,0,Ended,Renewed
SUB00000320,100186,Basic,2023-07-21,2023-11-21,19,Active,Renewed
SUB00000321,100187,Free,2024-07-18,2025-04-18,0,Ended,Renewed
SUB00000322,100187,Free,2025-04-19,2025-07-19,0,Active,Renewed
SUB00000323,100188,Free,2022-01-07,2022-08-07,0,Cancelled,Cancelled
SUB00000324,100189,Free,2026-01-18,2026-08-31,0,Expired,Not Renewed
SUB00000325,100190,Free,2026-01-13,2026-02-13,0,Ended,Renewed
SUB00000326,100190,Free,2026-02-14,2026-08-31,0,Active,Pending
SUB00000327,100191,Free,2023-06-24,2024-01-24,0,Active,Renewed
SUB00000328,100192,Basic,2024-10-22,2024-12-22,19,Ended,Renewed
SUB00000329,100192,Pro,2024-12-23,2025-06-23,49,Active,Renewed
SUB00000330,100193,Basic,2026-04-10,2026-07-10,19,Active,Renewed
SUB00000331,100194,Free,2023-01-01,2023-05-01,0,Active,Renewed
SUB00000332,100195,Free,2024-11-05,2025-02-05,0,Expired,Not Renewed
SUB00000333,100196,Free,2022-08-06,2023-05-06,0,Ended,Renewed
SUB00000334,100196,Free,2023-05-07,2023-12-07,0,Ended,Renewed
SUB00000335,100196,Free,2023-12-08,2024-10-08,0,Active,Renewed
SUB00000336,100197,Free,2025-07-04,2026-02-04,0,Ended,Renewed
SUB00000337,100197,Basic,2026-02-05,2026-07-05,19,Active,Renewed
SUB00000338,100198,Free,2023-09-04,2024-06-04,0,Active,Renewed
SUB00000339,100199,Free,2025-08-01,2026-01-01,0,Ended,Renewed
SUB00000340,100199,Free,2026-01-02,2026-06-02,0,Ended,Renewed
SUB00000341,100199,Free,2026-06-03,2026-08-31,0,Active,Pending
SUB00000342,100200,Free,2024-11-05,2025-07-05,0,Expired,Not Renewed
SUB00000343,100201,Free,2025-06-01,2026-02-01,0,Ended,Renewed
SUB00000344,100201,Free,2026-02-02,2026-08-31,0,Active,Pending
SUB00000345,100202,Free,2023-02-12,2023-09-12,0,Ended,Renewed
SUB00000346,100202,Free,2023-09-13,2024-03-13,0,Ended,Renewed
SUB00000347,100202,Free,2024-03-14,2024-09-14,0,Active,Renewed
SUB00000348,100203,Free,2022-11-10,2023-06-10,0,Cancelled,Cancelled
SUB00000349,100204,Basic,2024-02-05,2024-09-05,19,Ended,Renewed
SUB00000350,100204,Basic,2024-09-06,2025-08-06,19,Ended,Renewed
SUB00000351,100204,Basic,2025-08-07,2026-01-07,19,Active,Renewed
SUB00000352,100205,Pro,2026-04-11,2026-08-31,49,Expired,Not Renewed
SUB00000353,100206,Free,2022-11-27,2023-07-27,0,Ended,Renewed
SUB00000354,100206,Pro,2023-07-28,2023-08-28,49,Ended,Renewed
SUB00000355,100206,Pro,2023-08-29,2024-05-29,49,Active,Renewed
SUB00000356,100207,Free,2025-01-09,2025-03-09,0,Ended,Renewed
SUB00000357,100207,Free,2025-03-10,2025-08-10,0,Ended,Renewed
SUB00000358,100207,Free,2025-08-11,2026-08-11,0,Ended,Renewed
SUB00000359,100207,Free,2026-08-12,2026-08-31,0,Active,Pending
SUB00000360,100208,Basic,2026-05-14,2026-08-31,19,Ended,Renewed
SUB00000361,100209,Free,2024-12-22,2025-07-22,0,Ended,Renewed
SUB00000362,100209,Free,2025-07-23,2026-06-23,0,Ended,Renewed
SUB00000363,100209,Free,2026-06-24,2026-08-31,0,Active,Pending
SUB00000364,100210,Free,2022-01-02,2022-02-02,0,Ended,Renewed
