user_id,signup_date,country,age_group,gender,acquisition_channel,device_type,initial_plan,account_status
100036,2026-07-16,Australia,18-24,Female,Facebook Ads,Mobile,Free,Active
100037,2022-01-14,India,18-24,Male,Referral,Tablet,Free,Inactive
100038,2026-04-04,India,45-54,Male,Organic Search,Desktop,Free,Active
100039,2026-07-09,UK,55+,Female,Referral,Desktop,Free,Active
100040,2022-11-23,USA,25-34,Male,Facebook Ads,Mobile,Free,Active
100041,2025-11-30,India,25-34,Female,Facebook Ads,Desktop,Free,Active
100042,2024-05-15,USA,25-34,Male,Email,Desktop,Free,Active
100043,2023-11-28,India,35-44,Female,LinkedIn,Mobile,Basic,Active
100044,2023-07-24,Singapore,35-44,Male,Organic Search,Desktop,Free,Inactive
100045,2022-11-15,India,25-34,Female,Facebook Ads,Desktop,Basic,Inactive
100046,2023-03-17,UK,25-34,Female,Referral,Desktop,Free,Active
100047,2026-04-13,India,25-34,Female,Facebook Ads,Desktop,Free,Active
100048,2023-11-21,USA,18-24,Male,Referral,Desktop,Free,Active
100049,2022-07-29,USA,18-24,Male,Organic Search,Desktop,Free,Active
100050,2022-07-09,India,18-24,Female,Instagram,Tablet,Free,Active
100051,2024-02-18,UAE,18-24,Female,Facebook Ads,Desktop,Pro,Inactive
100052,2022-07-18,Australia,25-34,Female,Organic Search,Mobile,Free,Active
100053,2024-01-06,Singapore,18-24,Female,Organic Search,Desktop,Free,Active
100054,2023-12-06,Singapore,45-54,Male,Instagram,Desktop,Free,Active
100055,2025-05-21,USA,35-44,Female,Organic Search,Mobile,Free,Active
100056,2023-06-26,Singapore,35-44,Female,Instagram,Mobile,Free,Inactive
100057,2026-07-11,India,35-44,Female,Email,Desktop,Basic,Active
100058,2022-03-30,India,35-44,Male,Google Ads,Mobile,Free,Churned
100059,2026-02-03,India,18-24,Male,Organic Search,Desktop,Free,Active
100060,2024-07-29,India,18-24,Male,Facebook Ads,Mobile,Basic,Active
100061,2025-01-03,India,55+,Male,Referral,Mobile,Free,Active
100062,2022-09-13,India,25-34,Male,Organic Search,Mobile,Free,Active
100063,2024-02-15,Australia,18-24,Male,Email,Mobile,Free,Active
100064,2022-06-11,India,18-24,Male,Organic Search,Mobile,Free,Churned
100065,2025-02-04,India,45-54,Female,Google Ads,Mobile,Pro,Active
100066,2023-08-24,USA,25-34,Male,Email,Mobile,Free,Active
100067,2026-08-26,India,25-34,Male,Facebook Ads,Tablet,Free,Active
100068,2025-07-11,Australia,35-44,Male,Google Ads,Desktop,Free,Active
100069,2025-06-20,India,55+,Female,Organic Search,Desktop,Free,Churned
100070,2024-01-11,UAE,18-24,Male,Instagram,Desktop,Free,Inactive
100071,2025-03-28,Australia,25-34,Male,Email,Desktop,Free,Active
100072,2023-01-29,India,55+,Female,Facebook Ads,Tablet,Free,Active
100073,2025-12-13,India,18-24,Female,Instagram,Desktop,Free,Active
100074,2022-05-23,Australia,18-24,Female,Facebook Ads,Desktop,Pro,Active
100075,2022-04-04,Canada,18-24,Female,Instagram,Mobile,Basic,Active
100076,2025-09-16,Canada,25-34,Female,Referral,Desktop,Free,Active
100077,2023-04-12,Australia,25-34,Female,Google Ads,Mobile,Free,Active
100078,2026-05-03,India,35-44,Male,LinkedIn,Desktop,Free,Active
100079,2023-08-16,India,25-34,Male,Referral,Mobile,Free,Inactive
100080,2022-06-13,India,35-44,Male,Organic Search,Desktop,Free,Active
100081,2023-04-22,Germany,25-34,Female,Referral,Tablet,Free,Inactive
100082,2022-07-26,UK,55+,Female,Google Ads,Tablet,Free,Inactive
100083,2024-02-18,India,25-34,Female,Organic Search,Mobile,Basic,Active
100084,2023-07-24,India,18-24,Female,Organic Search,Desktop,Free,Active
100085,2024-07-17,India,25-34,Female,Email,Tablet,Basic,Inactive
100086,2025-07-25,India,35-44,Female,Facebook Ads,Mobile,Free,Active
100087,2024-01-18,Canada,35-44,Female,Referral,Desktop,Free,Active
100088,2022-11-30,UK,35-44,Male,Facebook Ads,Desktop,Free,Active
100089,2024-01-29,Germany,45-54,Male,Organic Search,Desktop,Free,Active
100090,2023-12-29,USA,25-34,Female,Instagram,Desktop,Free,Active
100091,2023-03-06,India,18-24,Male,Google Ads,Mobile,Free,Inactive
100092,2025-10-04,Canada,55+,Female,Organic Search,Desktop,Free,Active
100093,2023-07-01,Canada,25-34,Male,Google Ads,Mobile,Free,Active
100094,2025-12-08,USA,18-24,Male,Organic Search,Tablet,Free,Churned
100095,2025-10-31,Australia,25-34,Female,Facebook Ads,Mobile,Free,Active
100096,2025-08-20,USA,35-44,Female,Google Ads,Tablet,Pro,Active
100097,2022-05-27,USA,25-34,Female,Organic Search,Desktop,Free,Active
100098,2025-06-01,USA,55+,Female,Instagram,Mobile,Free,Active
100099,2025-07-24,India,25-34,Female,Referral,Desktop,Free,Active
100100,2022-12-17,India,18-24,Female,Referral,Desktop,Basic,Active
100101,2024-12-29,India,45-54,Female,Google Ads,Desktop,Free,Active
100102,2026-02-02,UK,25-34,Male,Google Ads,Mobile,Free,Active
100103,2023-05-17,India,35-44,Female,Instagram,Desktop,Free,Active
100104,2022-12-01,USA,25-34,Male,Google Ads,Mobile,Free,Churned
100105,2024-08-04,Singapore,35-44,Female,Email,Tablet,Free,Active
100106,2024-02-17,India,45-54,Male,Google Ads,Tablet,Free,Inactive
100107,2023-07-07,India,18-24,Female,Facebook Ads,Desktop,Enterprise,Active
100108,2025-08-03,Canada,18-24,Female,Referral,Mobile,Free,Active
100109,2025-11-10,India,45-54,Male,Organic Search,Desktop,Free,Active
100110,2025-02-14,India,35-44,Female,Google Ads,Desktop,Free,Active
100111,2023-03-26,India,18-24,Male,Organic Search,Desktop,Pro,Active
100112,2025-11-03,India,25-34,Male,Referral,Mobile,Enterprise,Active
100113,2023-10-27,Singapore,25-34,Male,Facebook Ads,Mobile,Free,Active
100114,2026-04-23,Australia,45-54,Male,Google Ads,Desktop,Basic,Active
100115,2026-05-09,UK,18-24,Male,Referral,Desktop,Basic,Active
100116,2022-04-25,Germany,35-44,Female,Google Ads,Desktop,Pro,Active
100117,2023-04-15,Australia,18-24,Female,Organic Search,Mobile,Basic,Active
100118,2026-08-11,India,25-34,Female,Facebook Ads,Mobile,Pro,Active
100119,2022-03-07,Singapore,35-44,Male,Organic Search,Desktop,Free,Inactive
100120,2026-07-07,USA,18-24,Female,Referral,Tablet,Basic,Active
100121,2023-10-09,Australia,25-34,Male,Referral,Mobile,Free,Inactive
100122,2024-04-01,Singapore,35-44,Male,LinkedIn,Mobile,Free,Inactive
100123,2023-07-03,India,18-24,Male,Instagram,Mobile,Basic,Active
100124,2022-05-16,India,35-44,Female,Organic Search,Desktop,Free,Inactive
100125,2023-03-09,India,35-44,Male,Organic Search,Mobile,Free,Inactive
100126,2025-03-07,USA,25-34,Male,Google Ads,Mobile,Free,Active
100127,2026-01-10,Australia,25-34,Female,LinkedIn,Mobile,Free,Active
100128,2023-10-07,Germany,25-34,Female,Organic Search,Mobile,Basic,Active
100129,2023-03-12,India,35-44,Male,LinkedIn,Mobile,Free,Active
100130,2025-09-04,USA,45-54,Female,Facebook Ads,Mobile,Free,Active
100131,2024-10-19,India,35-44,Female,Facebook Ads,Desktop,Free,Active
100132,2024-03-21,India,35-44,Female,Referral,Mobile,Free,Inactive
100133,2025-08-09,India,25-34,Male,Instagram,Desktop,Free,Active
100134,2024-07-28,India,25-34,Other,Google Ads,Mobile,Free,Active
100135,2022-10-20,UAE,35-44,Female,Facebook Ads,Tablet,Free,Active
100136,2023-06-27,India,35-44,Male,Instagram,Mobile,Basic,Active
100137,2022-10-13,USA,25-34,Female,Organic Search,Mobile,Basic,Active
100138,2023-05-21,Canada,55+,Female,Organic Search,Mobile,Basic,Inactive
100139,2026-03-06,India,45-54,Male,Referral,Tablet,Free,Churned
100140,2025-02-23,UAE,35-44,Male,Google Ads,Desktop,Free,Active
100141,2025-01-08,UAE,25-34,Female,Google Ads,Tablet,Free,Churned
100142,2023-06-23,India,25-34,Female,Organic Search,Mobile,Basic,Active
100143,2026-03-10,USA,45-54,Male,Organic Search,Desktop,Free,Active
100144,2025-04-12,India,25-34,Male,Organic Search,Desktop,Basic,Active
100145,2024-05-27,India,35-44,Female,LinkedIn,Desktop,Free,Active
100146,2025-04-10,India,45-54,Female,Facebook Ads,Mobile,Free,Active
100147,2024-03-28,UK,25-34,Female,Google Ads,Mobile,Basic,Churned
100148,2024-01-12,USA,35-44,Male,Google Ads,Desktop,Free,Active
100149,2023-03-26,India,18-24,Female,Organic Search,Desktop,Free,Active
100150,2022-10-11,India,35-44,Male,Facebook Ads,Mobile,Pro,Active
100151,2024-11-09,Singapore,25-34,Male,Organic Search,Desktop,Free,Active
100152,2024-10-07,India,35-44,Male,Organic Search,Desktop,Free,Active
100153,2022-07-06,India,18-24,Male,Email,Desktop,Free,Active
100154,2026-03-28,USA,25-34,Male,Organic Search,Desktop,Free,Active
100155,2022-04-07,UAE,25-34,Female,Instagram,Desktop,Free,Active
100156,2022-08-13,India,25-34,Female,Organic Search,Desktop,Free,Active
100157,2022-11-10,UK,35-44,Male,Instagram,Desktop,Pro,Churned
100158,2025-07-09,Canada,35-44,Male,Organic Search,Mobile,Free,Inactive
100159,2022-11-24,India,35-44,Male,Facebook Ads,Desktop,Free,Inactive
100160,2026-06-11,Canada,35-44,Male,Facebook Ads,Desktop,Pro,Churned
100161,2025-10-25,India,45-54,Male,Facebook Ads,Desktop,Basic,Active
100162,2024-05-14,UK,25-34,Male,Organic Search,Mobile,Basic,Active
100163,2025-05-06,UK,25-34,Male,Organic Search,Desktop,Free,Active
100164,2022-05-11,USA,18-24,Male,Email,Desktop,Basic,Active
100165,2024-02-28,India,25-34,Female,Organic Search,Desktop,Free,Active
100166,2024-02-21,Germany,25-34,Male,Google Ads,Mobile,Basic,Active
100167,2025-05-05,India,25-34,Female,Organic Search,Desktop,Free,Active
100168,2024-08-16,India,18-24,Female,Organic Search,Mobile,Free,Inactive
100169,2024-12-19,India,35-44,Female,Organic Search,Desktop,Basic,Active
100170,2023-05-30,USA,45-54,Male,Instagram,Desktop,Free,Active
100171,2025-02-07,UK,25-34,Female,LinkedIn,Desktop,Free,Active
100172,2022-01-24,India,35-44,Male,Email,Desktop,Free,Active
100173,2025-10-25,USA,18-24,Female,Organic Search,Desktop,Free,Active
100174,2026-01-16,India,35-44,Female,Email,Mobile,Free,Inactive
100175,2022-08-23,UK,18-24,Female,Google Ads,Desktop,Free,Active
100176,2025-10-28,India,25-34,Female,Referral,Desktop,Free,Active
100177,2025-01-04,UK,25-34,Male,Google Ads,Desktop,Free,Active
100178,2026-03-18,India,18-24,Female,Organic Search,Tablet,Free,Active
100179,2023-07-01,Singapore,25-34,Female,Facebook Ads,Desktop,Free,Active
100180,2026-04-24,India,35-44,Female,Facebook Ads,Mobile,Free,Active
100181,2025-08-05,India,18-24,Male,Facebook Ads,Desktop,Free,Active
100182,2023-11-28,India,45-54,Female,Referral,Desktop,Pro,Active
100183,2022-08-17,Singapore,35-44,Male,Google Ads,Desktop,Free,Active
100184,2023-08-25,Germany,25-34,Male,Facebook Ads,Desktop,Free,Active
100185,2024-06-09,India,35-44,Male,Referral,Desktop,Free,Active
100186,2022-11-20,UK,35-44,Female,Organic Search,Desktop,Free,Active
100187,2024-07-18,Australia,35-44,Female,Instagram,Desktop,Free,Active
100188,2022-01-07,USA,35-44,Male,Instagram,Mobile,Free,Churned
100189,2026-01-18,USA,45-54,Male,Facebook Ads,Mobile,Free,Inactive
100190,2026-01-13,India,45-54,Male,Facebook Ads,Desktop,Free,Active
100191,2023-06-24,India,45-54,Male,Google Ads,Mobile,Free,Active
100192,2024-10-22,Singapore,45-54,Male,Instagram,Mobile,Basic,Active
100193,2026-04-10,Singapore,35-44,Male,Organic Search,Mobile,Basic,Active
100194,2023-01-01,UK,25-34,Male,Referral,Tablet,Free,Active
100195,2024-11-05,India,25-34,Male,Referral,Desktop,Free,Inactive
100196,2022-08-06,India,35-44,Female,Facebook Ads,Tablet,Free,Active
100197,2025-07-04,Canada,45-54,Male,Facebook Ads,Desktop,Free,Active
100198,2023-09-04,Singapore,18-24,Male,Referral,Desktop,Free,Active
100199,2025-08-01,Germany,45-54,Female,Facebook Ads,Desktop,Free,Active
100200,2024-11-05,Australia,45-54,Female,Email,Desktop,Free,Inactive
100201,2025-06-01,UK,18-24,Female,Organic Search,Desktop,Free,Active
100202,2023-02-12,India,35-44,Female,Google Ads,Desktop,Free,Active
100203,2022-11-10,India,55+,Male,Facebook Ads,Mobile,Free,Churned
100204,2024-02-05,Singapore,45-54,Male,Referral,Mobile,Basic,Active
100205,2026-04-11,UK,18-24,Male,Organic Search,Mobile,Pro,Inactive
100206,2022-11-27,India,45-54,Male,LinkedIn,Desktop,Free,Active
100207,2025-01-09,India,18-24,Male,Instagram,Desktop,Free,Active
100208,2026-05-14,UK,18-24,Male,Google Ads,Mobile,Basic,Active
100209,2024-12-22,India,25-34,Male,LinkedIn,Desktop,Free,Active
100210,2022-01-02,India,25-34,Male,Facebook Ads,Desktop,Free,Inactive
100211,2025-05-11,USA,35-44,Male,Google Ads,Mobile,Enterprise,Inactive
100212,2023-10-26,UK,25-34,Male,Organic Search,Desktop,Free,Active
100213,2024-09-27,UK,25-34,Female,Google Ads,Mobile,Free,Active
100214,2022-02-09,India,18-24,Female,Google Ads,Desktop,Free,Active
100215,2022-08-18,Canada,25-34,Female,LinkedIn,Mobile,Free,Churned
100216,2024-01-14,India,45-54,Male,Referral,Desktop,Free,Churned
100217,2026-08-31,India,35-44,Other,LinkedIn,Desktop,Free,Active
100218,2026-07-11,Canada,35-44,Female,Google Ads,Mobile,Free,Active
100219,2023-09-22,UK,25-34,Male,Instagram,Desktop,Free,Active
100220,2023-05-06,Germany,18-24,Male,Organic Search,Desktop,Enterprise,Churned
100221,2022-04-29,UK,45-54,Male,Google Ads,Desktop,Free,Active
100222,2023-05-09,USA,45-54,Male,Google Ads,Mobile,Free,Active
100223,2025-03-07,India,18-24,Male,Instagram,Mobile,Free,Inactive
100224,2022-06-11,India,25-34,Female,Referral,Tablet,Basic,Active
100225,2022-06-25,India,25-34,Male,Facebook Ads,Desktop,Free,Churned
100226,2026-02-07,India,35-44,Male,Instagram,Mobile,Free,Active
100227,2024-09-22,UAE,25-34,Male,Google Ads,Desktop,Free,Churned
100228,2026-07-30,India,35-44,Male,Google Ads,Mobile,Basic,Active
100229,2022-05-22,Singapore,18-24,Female,LinkedIn,Desktop,Pro,Active
100230,2026-04-07,UK,35-44,Other,Organic Search,Mobile,Free,Inactive
100231,2024-12-26,Australia,25-34,Male,Google Ads,Desktop,Enterprise,Active
100232,2026-04-18,USA,25-34,Female,Email,Desktop,Free,Churned
100233,2022-09-15,USA,25-34,Female,Facebook Ads,Mobile,Basic,Active
100234,2022-09-20,USA,25-34,Male,Referral,Desktop,Basic,Active
100235,2025-09-13,India,35-44,Male,Instagram,Mobile,Free,Active
100236,2024-08-31,Canada,18-24,Male,Google Ads,Desktop,Basic,Active
100237,2025-01-30,India,45-54,Male,Organic Search,Mobile,Pro,Active
100238,2022-12-05,India,45-54,Male,Referral,Desktop,Free,Inactive
100239,2023-06-27,UK,35-44,Female,Facebook Ads,Tablet,Free,Active
100240,2024-12-16,India,55+,Female,Facebook Ads,Mobile,Enterprise,Active
100241,2025-05-27,UAE,35-44,Male,Organic Search,Mobile,Free,Churned
100242,2024-05-16,UAE,25-34,Male,Facebook Ads,Mobile,Basic,Active
100243,2023-03-10,Singapore,35-44,Male,Organic Search,Desktop,Basic,Active
100244,2025-01-09,India,18-24,Male,LinkedIn,Desktop,Free,Active
100245,2026-03-27,India,35-44,Male,Email,Desktop,Basic,Active
100246,2026-02-03,Singapore,18-24,Male,Referral,Mobile,Basic,Churned
100247,2025-11-13,USA,45-54,Male,Google Ads,Desktop,Basic,Active
100248,2023-02-16,UAE,45-54,Male,Organic Search,Mobile,Free,Active
100249,2025-12-31,UAE,18-24,Female,Organic Search,Mobile,Enterprise,Inactive
100250,2023-10-01,Germany,35-44,Male,Organic Search,Mobile,Free,Active
100251,2024-03-28,India,35-44,Male,Email,Desktop,Free,Inactive
100252,2025-10-07,India,25-34,Female,Google Ads,Mobile,Free,Active
100253,2025-08-23,Germany,18-24,Male,Organic Search,Tablet,Free,Active
100254,2024-02-04,India,18-24,Female,Facebook Ads,Desktop,Free,Active
100255,2024-06-16,India,35-44,Male,Organic Search,Desktop,Free,Churned
100256,2024-11-25,USA,25-34,Male,Email,Mobile,Basic,Active
100257,2024-07-13,Singapore,18-24,Male,Organic Search,Mobile,Pro,Active
100258,2022-09-05,UK,25-34,Female,Organic Search,Tablet,Free,Active
100259,2023-05-23,USA,45-54,Male,Email,Desktop,Pro,Active
100260,2023-04-06,India,45-54,Male,LinkedIn,Desktop,Free,Active
100261,2022-05-12,UK,35-44,Female,Facebook Ads,Desktop,Free,Active
100262,2023-11-24,UAE,35-44,Male,Instagram,Desktop,Free,Inactive
100263,2022-02-13,India,35-44,Male,Organic Search,Mobile,Free,Active
100264,2025-04-19,USA,18-24,Male,Instagram,Desktop,Free,Active
100265,2025-02-08,Germany,25-34,Male,Organic Search,Mobile,Enterprise,Active
100266,2023-04-17,Canada,25-34,Male,Email,Desktop,Free,Active
100267,2025-04-20,UK,25-34,Female,Organic Search,Mobile,Free,Active
100268,2023-03-28,Canada,25-34,Female,Email,Desktop,Free,Inactive
100269,2022-01-15,India,35-44,Male,LinkedIn,Tablet,Basic,Active
100270,2022-05-26,India,35-44,Male,Organic Search,Desktop,Free,Active
100271,2025-12-20,Australia,25-34,Male,Organic Search,Desktop,Free,Active
100272,2025-07-16,Australia,25-34,Male,Organic Search,Desktop,Pro,Active
100273,2022-05-01,Germany,25-34,Male,Instagram,Desktop,Free,Active
100274,2023-04-14,Singapore,25-34,Female,Google Ads,Desktop,Free,Active
100275,2022-05-19,USA,25-34,Male,LinkedIn,Mobile,Basic,Active
100276,2022-03-06,USA,25-34,Male,Referral,Tablet,Free,Active
100277,2023-11-08,Australia,25-34,Male,Email,Desktop,Basic,Active
100278,2022-05-26,UK,25-34,Male,Google Ads,Desktop,Free,Active
100279,2024-11-18,Canada,35-44,Female,Organic Search,Desktop,Free,Churned
100280,2023-05-03,Australia,25-34,Male,Google Ads,Mobile,Pro,Active
100281,2023-07-25,Singapore,25-34,Female,Google Ads,Mobile,Free,Active
100282,2025-10-02,India,25-34,Male,Google Ads,Tablet,Free,Inactive
100283,2024-09-21,India,18-24,Female,Google Ads,Mobile,Free,Active
100284,2023-03-15,India,35-44,Other,Google Ads,Mobile,Free,Inactive
100285,2025-01-09,USA,25-34,Male,Facebook Ads,Mobile,Basic,Active
100286,2022-09-28,India,18-24,Female,Email,Tablet,Free,Active
100287,2026-01-21,USA,35-44,Female,Organic Search,Desktop,Free,Inactive
100288,2025-03-15,USA,18-24,Male,Google Ads,Mobile,Free,Active
100289,2025-03-26,India,25-34,Male,Referral,Mobile,Free,Inactive
100290,2024-08-26,USA,35-44,Male,Instagram,Mobile,Free,Active
100291,2023-05-13,India,55+,Male,Referral,Mobile,Free,Active
100292,2026-05-26,India,25-34,Male,Google Ads,Desktop,Free,Active
100293,2024-08-26,Australia,25-34,Male,Google Ads,Desktop,Free,Inactive
100294,2026-07-12,India,25-34,Female,Referral,Desktop,Free,Active
100295,2024-04-13,India,25-34,Male,Organic Search,Desktop,Free,Active
100296,2023-01-25,USA,25-34,Male,Email,Desktop,Free,Inactive
100297,2022-07-13,Canada,45-54,Female,Organic Search,Desktop,Free,Active
100298,2022-07-18,India,18-24,Male,LinkedIn,Mobile,Free,Active
100299,2025-09-11,UK,25-34,Male,Email,Desktop,Free,Active
100300,2024-06-01,India,35-44,Male,Email,Mobile,Free,Active
100301,2023-12-27,India,25-34,Male,Referral,Desktop,Free,Active
100302,2024-05-17,USA,35-44,Male,Instagram,Desktop,Basic,Inactive
100303,2024-04-21,USA,35-44,Male,Google Ads,Mobile,Free,Active
100304,2024-08-14,UK,25-34,Female,Organic Search,Mobile,Free,Active
100305,2026-02-02,Canada,35-44,Male,Organic Search,Desktop,Enterprise,Active
100306,2022-04-21,UAE,45-54,Male,Email,Mobile,Basic,Inactive
100307,2025-10-11,USA,35-44,Male,Organic Search,Mobile,Basic,Active
100308,2025-08-31,India,25-34,Female,LinkedIn,Mobile,Free,Active
100309,2025-08-16,Australia,35-44,Male,LinkedIn,Desktop,Free,Active
100310,2022-07-21,India,35-44,Male,Google Ads,Mobile,Basic,Active
100311,2022-05-05,USA,25-34,Male,Instagram,Desktop,Free,Active
100312,2024-04-04,India,45-54,Male,Organic Search,Mobile,Free,Active
100313,2026-01-31,India,45-54,Male,Google Ads,Desktop,Free,Active
100314,2023-11-26,UAE,35-44,Male,Google Ads,Desktop,Free,Active
100315,2026-06-28,Germany,45-54,Male,Facebook Ads,Mobile,Pro,Active
100316,2022-08-12,UK,35-44,Male,Facebook Ads,Tablet,Free,Inactive
100317,2023-05-25,India,25-34,Male,Organic Search,Desktop,Free,Active
100318,2023-01-28,India,25-34,Male,Facebook Ads,Tablet,Free,Inactive
100319,2023-01-25,India,25-34,Male,Organic Search,Desktop,Free,Inactive
100320,2025-01-03,India,45-54,Female,Google Ads,Desktop,Free,Active
100321,2024-07-07,USA,35-44,Female,Organic Search,Mobile,Free,Inactive
100322,2022-10-15,Canada,25-34,Female,Organic Search,Desktop,Pro,Inactive
100323,2024-05-14,UK,18-24,Male,Organic Search,Mobile,Free,Active
100324,2023-01-11,India,35-44,Male,Referral,Mobile,Free,Active
100325,2023-07-25,UAE,25-34,Female,Facebook Ads,Mobile,Free,Active
100326,2024-08-05,Canada,45-54,Male,Facebook Ads,Tablet,Basic,Inactive
100327,2023-05-27,USA,25-34,Male,Google Ads,Desktop,Free,Inactive
100328,2022-06-04,UK,35-44,Male,LinkedIn,Desktop,Basic,Active
100329,2024-06-26,India,25-34,Male,Facebook Ads,Desktop,Pro,Active
100330,2026-07-13,India,18-24,Male,LinkedIn,Mobile,Basic,Active
100331,2025-02-01,India,18-24,Male,Referral,Desktop,Basic,Inactive
100332,2022-07-20,Canada,45-54,Female,Facebook Ads,Desktop,Free,Churned
100333,2022-04-14,India,25-34,Male,Organic Search,Desktop,Free,Active
100334,2025-08-28,India,25-34,Female,Instagram,Desktop,Free,Active
100335,2025-01-12,India,25-34,Male,Referral,Desktop,Free,Inactive
100336,2022-01-31,India,35-44,Male,Google Ads,Mobile,Free,Active
100337,2022-07-11,Germany,25-34,Male,Referral,Desktop,Free,Active
100338,2026-03-24,Canada,25-34,Male,Instagram,Desktop,Free,Inactive
100339,2023-04-30,USA,18-24,Female,Facebook Ads,Mobile,Free,Active
100340,2022-12-07,India,35-44,Male,Organic Search,Mobile,Free,Active
100341,2024-04-12,USA,55+,Male,Google Ads,Tablet,Basic,Inactive
100342,2024-09-21,USA,35-44,Female,Google Ads,Mobile,Pro,Churned
100343,2024-09-12,India,45-54,Female,Email,Desktop,Free,Active
100344,2023-03-14,USA,45-54,Male,Instagram,Mobile,Basic,Active
100345,2024-04-01,India,18-24,Male,Email,Mobile,Free,Active
100346,2022-05-01,UK,45-54,Female,Google Ads,Mobile,Basic,Active
100347,2022-12-04,UK,18-24,Male,LinkedIn,Mobile,Free,Active
100348,2024-02-16,India,25-34,Female,Organic Search,Desktop,Basic,Active
100349,2022-01-05,India,25-34,Male,Facebook Ads,Mobile,Basic,Active
100350,2024-03-10,UK,35-44,Female,Facebook Ads,Desktop,Free,Active
100351,2023-06-28,USA,35-44,Female,Organic Search,Desktop,Free,Inactive
100352,2026-05-25,Germany,25-34,Male,Organic Search,Mobile,Free,Active
100353,2026-05-27,UK,45-54,Female,Referral,Desktop,Free,Active
100354,2024-07-20,India,18-24,Male,Referral,Desktop,Free,Inactive
100355,2023-08-08,India,55+,Female,Referral,Desktop,Basic,Inactive
100356,2024-05-16,UK,55+,Male,Organic Search,Mobile,Basic,Active
100357,2025-11-27,India,35-44,Female,Referral,Desktop,Free,Active
100358,2026-02-05,USA,35-44,Male,LinkedIn,Mobile,Pro,Active
100359,2026-05-24,UAE,55+,Male,Google Ads,Mobile,Basic,Churned
100360,2025-02-12,USA,25-34,Male,Facebook Ads,Desktop,Free,Active
100361,2025-09-17,India,35-44,Female,Google Ads,Desktop,Free,Active
100362,2026-01-11,UK,25-34,Female,Email,Desktop,Free,Active
100363,2024-09-23,USA,18-24,Female,Instagram,Mobile,Free,Active
100364,2022-11-14,USA,18-24,Female,LinkedIn,Tablet,Basic,Active
100365,2023-01-24,UAE,35-44,Male,Organic Search,Mobile,Basic,Active
100366,2023-08-31,India,25-34,Female,Organic Search,Mobile,Free,Active
100367,2023-03-22,UAE,35-44,Male,Instagram,Desktop,Pro,Active
100368,2022-04-30,Singapore,25-34,Male,Organic Search,Mobile,Basic,Active
100369,2025-04-01,India,25-34,Female,Email,Desktop,Free,Inactive
100370,2026-02-15,India,35-44,Other,Instagram,Desktop,Basic,Active
100371,2025-01-15,India,25-34,Male,Organic Search,Tablet,Free,Inactive
100372,2022-05-05,India,45-54,Male,LinkedIn,Mobile,Free,Active
