campaign_id,user_id,campaign_date,campaign_name,channel,impressions,clicks,spend,conversion
CAMP00000031,100031,2024-05-08,SEO_Brand,Organic Search,2708,255,7.99,35
CAMP00000032,100032,2023-03-07,Google_Display,Google Ads,7520,428,984.42,35
CAMP00000033,100033,2024-06-20,SEO_Product,Organic Search,8462,736,29.92,97
CAMP00000034,100034,2025-04-08,Instagram_Stories,Instagram,14379,363,105.5,23
CAMP00000035,100035,2023-07-04,SEO_Content,Organic Search,3724,162,18.97,20
CAMP00000036,100036,2026-07-10,Facebook_Conversion,Facebook Ads,18073,514,283.05,22
CAMP00000037,100037,2022-01-07,Referral_Program,Referral,957,250,19.42,57
CAMP00000038,100038,2026-03-18,SEO_Brand,Organic Search,3556,339,19.91,46
CAMP00000039,100039,2026-07-03,Referral_Invite,Referral,170,22,4.69,2
CAMP00000040,100040,2022-10-29,Facebook_LeadGen,Facebook Ads,9847,272,325.28,18
CAMP00000041,100041,2025-11-13,Facebook_Retargeting,Facebook Ads,16447,323,378.5,12
CAMP00000042,100042,2024-04-27,Email_Promotion,Email,4641,419,5.74,49
CAMP00000043,100043,2023-10-30,LinkedIn_SaaS,LinkedIn,5658,96,348.32,9
CAMP00000044,100044,2023-07-22,SEO_Content,Organic Search,2726,219,15.01,17
CAMP00000045,100045,2022-11-08,Facebook_Retargeting,Facebook Ads,19981,323,288.0,9
CAMP00000046,100046,2023-02-27,Referral_Partner,Referral,697,199,35.36,25
CAMP00000047,100047,2026-04-01,Facebook_Conversion,Facebook Ads,10330,296,338.08,19
CAMP00000048,100048,2023-11-21,Referral_Invite,Referral,1322,396,17.09,98
CAMP00000049,100049,2022-07-21,SEO_Brand,Organic Search,11936,1108,75.28,154
CAMP00000050,100050,2022-06-13,Instagram_Influencer,Instagram,10412,315,233.25,21
CAMP00000051,100051,2024-02-18,Facebook_Retargeting,Facebook Ads,18673,447,511.83,24
CAMP00000052,100052,2022-07-14,SEO_Product,Organic Search,4282,399,18.37,50
CAMP00000053,100053,2023-12-31,SEO_Content,Organic Search,11735,612,47.43,71
CAMP00000054,100054,2023-11-08,Instagram_Reels,Instagram,3524,108,30.57,6
CAMP00000055,100055,2025-05-11,SEO_Brand,Organic Search,9083,451,77.75,44
CAMP00000056,100056,2023-06-23,Instagram_Reels,Instagram,5384,154,105.78,9
CAMP00000057,100057,2026-07-07,Email_ProductUpdate,Email,1244,108,10.5,13
CAMP00000058,100058,2022-03-29,Google_Display,Google Ads,7383,473,662.79,37
CAMP00000059,100059,2026-01-17,SEO_Product,Organic Search,5564,531,39.72,43
CAMP00000060,100060,2024-07-24,Facebook_LeadGen,Facebook Ads,1312,26,26.11,1
CAMP00000061,100061,2024-12-21,Referral_Partner,Referral,558,85,8.2,18
CAMP00000062,100062,2022-08-17,SEO_Product,Organic Search,7788,404,49.46,57
CAMP00000063,100063,2024-01-19,Email_Welcome,Email,2026,170,7.1,17
CAMP00000064,100064,2022-05-12,SEO_Product,Organic Search,12006,942,210.53,90
CAMP00000065,100065,2025-01-05,Google_Search,Google Ads,4279,316,564.69,17
CAMP00000066,100066,2023-08-16,Email_Welcome,Email,1088,197,10.16,23
CAMP00000067,100067,2026-08-10,Facebook_Conversion,Facebook Ads,13122,550,186.97,18
CAMP00000068,100068,2025-06-28,Google_Search,Google Ads,17536,1337,2704.79,96
CAMP00000069,100069,2025-05-28,SEO_Content,Organic Search,6956,430,56.49,28
CAMP00000070,100070,2024-01-01,Instagram_Influencer,Instagram,4583,151,72.78,5
CAMP00000071,100071,2025-03-15,Email_ProductUpdate,Email,3496,694,18.1,101
CAMP00000072,100072,2023-01-17,Facebook_Retargeting,Facebook Ads,6202,207,164.18,7
CAMP00000073,100073,2025-12-13,Instagram_Stories,Instagram,9901,200,141.0,12
CAMP00000074,100074,2022-05-13,Facebook_LeadGen,Facebook Ads,14976,423,307.04,14
CAMP00000075,100075,2022-03-07,Instagram_Influencer,Instagram,6060,190,142.1,7
CAMP00000076,100076,2025-08-28,Referral_Invite,Referral,241,63,10.43,13
CAMP00000077,100077,2023-04-06,Google_Search,Google Ads,1300,42,77.24,4
CAMP00000078,100078,2026-04-09,LinkedIn_B2B,LinkedIn,15423,455,903.67,50
CAMP00000079,100079,2023-07-25,Referral_Invite,Referral,1062,191,61.85,23
CAMP00000080,100080,2022-05-17,SEO_Brand,Organic Search,14431,766,119.69,101
CAMP00000081,100081,2023-04-05,Referral_Program,Referral,298,57,19.25,12
CAMP00000082,100082,2022-07-07,Google_Display,Google Ads,15002,909,1507.23,75
CAMP00000083,100083,2024-01-23,SEO_Content,Organic Search,15111,1417,131.57,179
CAMP00000084,100084,2023-07-17,SEO_Content,Organic Search,9586,823,96.94,87
CAMP00000085,100085,2024-07-15,Email_Promotion,Email,2540,304,9.98,36
CAMP00000086,100086,2025-07-21,Facebook_Conversion,Facebook Ads,13051,467,167.1,26
CAMP00000087,100087,2024-01-05,Referral_Invite,Referral,1161,224,54.44,24
CAMP00000088,100088,2022-11-06,Facebook_Retargeting,Facebook Ads,1140,46,29.55,2
CAMP00000089,100089,2024-01-29,SEO_Product,Organic Search,10284,876,171.26,119
CAMP00000090,100090,2023-12-06,Instagram_Influencer,Instagram,18395,643,396.2,42
CAMP00000091,100091,2023-02-26,Google_Display,Google Ads,16413,516,1008.54,31
CAMP00000092,100092,2025-09-22,SEO_Content,Organic Search,5908,534,119.08,76
CAMP00000093,100093,2023-06-02,Google_Display,Google Ads,19895,1158,2191.72,48
CAMP00000094,100094,2025-12-04,SEO_Product,Organic Search,6454,277,15.93,26
CAMP00000095,100095,2025-10-07,Facebook_LeadGen,Facebook Ads,9617,361,190.26,22
CAMP00000096,100096,2025-08-18,Google_Display,Google Ads,1135,76,183.79,3
CAMP00000097,100097,2022-05-20,SEO_Content,Organic Search,2748,238,57.9,28
CAMP00000098,100098,2025-05-26,Instagram_Reels,Instagram,5493,115,38.62,5
CAMP00000099,100099,2025-06-24,Referral_Program,Referral,1002,240,23.11,51
CAMP00000100,100100,2022-11-24,Referral_Partner,Referral,284,72,9.87,8
CAMP00000101,100101,2024-11-30,Google_Display,Google Ads,19367,1236,1822.25,120
CAMP00000102,100102,2026-01-11,Google_Search,Google Ads,2990,178,215.89,15
CAMP00000103,100103,2023-04-25,Instagram_Stories,Instagram,4466,155,43.52,7
CAMP00000104,100104,2022-11-14,Google_Display,Google Ads,12642,422,346.68,33
CAMP00000105,100105,2024-07-22,Email_ProductUpdate,Email,1064,163,9.56,20
CAMP00000106,100106,2024-02-13,Google_Display,Google Ads,6271,418,526.32,40
CAMP00000107,100107,2023-06-12,Facebook_Retargeting,Facebook Ads,16343,473,394.12,29
CAMP00000108,100108,2025-07-24,Referral_Program,Referral,227,35,9.37,5
CAMP00000109,100109,2025-10-20,SEO_Product,Organic Search,11523,480,22.15,65
CAMP00000110,100110,2025-01-20,Google_Display,Google Ads,11652,512,1175.65,38
CAMP00000111,100111,2023-03-09,SEO_Brand,Organic Search,17428,1688,277.49,114
CAMP00000112,100112,2025-10-10,Referral_Program,Referral,1464,285,24.4,58
CAMP00000113,100113,2023-10-18,Facebook_Conversion,Facebook Ads,13751,491,404.29,19
CAMP00000114,100114,2026-04-08,Google_Remarketing,Google Ads,17897,844,1464.9,84
CAMP00000115,100115,2026-04-28,Referral_Partner,Referral,979,150,7.67,20
CAMP00000116,100116,2022-04-22,Google_Remarketing,Google Ads,18059,1400,1575.87,113
CAMP00000117,100117,2023-03-23,SEO_Product,Organic Search,9560,798,82.31,118
CAMP00000118,100118,2026-08-08,Facebook_Conversion,Facebook Ads,10207,222,69.43,7
CAMP00000119,100119,2022-02-18,SEO_Brand,Organic Search,9488,405,47.6,26
CAMP00000120,100120,2026-06-17,Referral_Invite,Referral,260,71,11.45,13
CAMP00000121,100121,2023-10-04,Referral_Program,Referral,567,163,39.67,27
CAMP00000122,100122,2024-03-30,LinkedIn_SaaS,LinkedIn,2256,45,174.28,5
CAMP00000123,100123,2023-07-01,Instagram_Reels,Instagram,4381,126,87.83,5
CAMP00000124,100124,2022-04-27,SEO_Brand,Organic Search,17623,1107,101.36,156
CAMP00000125,100125,2023-02-24,SEO_Product,Organic Search,19132,1478,353.43,169
CAMP00000126,100126,2025-03-01,Google_Remarketing,Google Ads,7414,320,386.49,14
CAMP00000127,100127,2025-12-24,LinkedIn_B2B,LinkedIn,5629,84,250.7,8
CAMP00000128,100128,2023-09-28,SEO_Brand,Organic Search,8085,463,54.52,39
CAMP00000129,100129,2023-03-05,LinkedIn_LeadGen,LinkedIn,19826,756,1937.51,101
CAMP00000130,100130,2025-08-18,Facebook_Conversion,Facebook Ads,5382,227,82.69,14
CAMP00000131,100131,2024-10-14,Facebook_LeadGen,Facebook Ads,19998,749,419.25,37
CAMP00000132,100132,2024-03-18,Referral_Invite,Referral,1460,234,28.28,37
CAMP00000133,100133,2025-07-26,Instagram_Reels,Instagram,1806,67,47.09,3
CAMP00000134,100134,2024-07-28,Google_Search,Google Ads,8001,624,1109.37,56
CAMP00000135,100135,2022-09-20,Facebook_Conversion,Facebook Ads,9331,301,137.76,17
CAMP00000136,100136,2023-06-11,Instagram_Influencer,Instagram,14990,568,391.35,18
CAMP00000137,100137,2022-09-23,SEO_Product,Organic Search,3489,237,13.56,22
CAMP00000138,100138,2023-05-16,SEO_Product,Organic Search,13988,1141,307.11,98
CAMP00000139,100139,2026-02-17,Referral_Program,Referral,981,115,10.6,15
CAMP00000140,100140,2025-01-27,Google_Remarketing,Google Ads,537,33,49.58,2
CAMP00000141,100141,2025-01-02,Google_Remarketing,Google Ads,12354,755,1171.36,52
CAMP00000142,100142,2023-06-22,SEO_Brand,Organic Search,9250,674,88.96,96
CAMP00000143,100143,2026-03-07,SEO_Brand,Organic Search,8341,688,19.0,60
CAMP00000144,100144,2025-04-05,SEO_Brand,Organic Search,15620,1512,120.38,178
CAMP00000145,100145,2024-05-18,LinkedIn_SaaS,LinkedIn,9459,279,747.87,27
CAMP00000146,100146,2025-03-27,Facebook_Retargeting,Facebook Ads,5239,138,104.52,9
CAMP00000147,100147,2024-02-29,Google_Search,Google Ads,2787,122,183.66,10
CAMP00000148,100148,2023-12-14,Google_Remarketing,Google Ads,9254,657,859.06,37
CAMP00000149,100149,2023-03-08,SEO_Content,Organic Search,16544,1520,155.56,152
CAMP00000150,100150,2022-09-17,Facebook_Retargeting,Facebook Ads,12860,368,172.88,14
CAMP00000151,100151,2024-10-18,SEO_Brand,Organic Search,19236,1211,107.73,165
CAMP00000152,100152,2024-09-22,SEO_Content,Organic Search,12992,820,218.59,98
CAMP00000153,100153,2022-06-21,Email_Welcome,Email,1234,204,17.38,30
CAMP00000154,100154,2026-03-14,SEO_Brand,Organic Search,17734,1678,123.97,102
CAMP00000155,100155,2022-04-03,Instagram_Reels,Instagram,15884,548,393.16,20
CAMP00000156,100156,2022-08-01,SEO_Content,Organic Search,3131,285,48.99,38
CAMP00000157,100157,2022-10-31,Instagram_Influencer,Instagram,16489,606,182.6,16
CAMP00000158,100158,2025-06-19,SEO_Content,Organic Search,9916,990,69.8,125
CAMP00000159,100159,2022-11-04,Facebook_Retargeting,Facebook Ads,3793,107,119.1,6
CAMP00000160,100160,2026-06-10,Facebook_LeadGen,Facebook Ads,2338,55,23.71,2
CAMP00000161,100161,2025-10-09,Facebook_LeadGen,Facebook Ads,19044,675,308.85,22
CAMP00000162,100162,2024-04-25,SEO_Product,Organic Search,8391,586,47.61,65
CAMP00000163,100163,2025-04-22,SEO_Product,Organic Search,807,75,6.48,7
CAMP00000164,100164,2022-05-09,Email_ProductUpdate,Email,3030,751,59.47,87
CAMP00000165,100165,2024-02-14,SEO_Product,Organic Search,7027,702,30.08,96
CAMP00000166,100166,2024-02-10,Google_Remarketing,Google Ads,10195,811,1997.09,46
CAMP00000167,100167,2025-04-14,SEO_Product,Organic Search,9494,384,97.41,52
CAMP00000168,100168,2024-07-18,SEO_Content,Organic Search,16776,1509,201.37,213
CAMP00000169,100169,2024-11-24,SEO_Product,Organic Search,7676,600,113.82,69
CAMP00000170,100170,2023-05-09,Instagram_Influencer,Instagram,4981,152,111.68,9
CAMP00000171,100171,2025-01-29,LinkedIn_LeadGen,LinkedIn,1593,56,96.62,6
CAMP00000172,100172,2022-01-15,Email_ProductUpdate,Email,3603,395,25.04,37
CAMP00000173,100173,2025-10-09,SEO_Content,Organic Search,9430,847,155.15,70
CAMP00000174,100174,2025-12-22,Email_ProductUpdate,Email,2974,644,12.79,87
CAMP00000175,100175,2022-08-16,Google_Remarketing,Google Ads,13522,1059,1505.7,93
CAMP00000176,100176,2025-10-03,Referral_Invite,Referral,78,11,1.97,1
CAMP00000177,100177,2024-12-27,Google_Remarketing,Google Ads,12985,923,908.41,88
CAMP00000178,100178,2026-03-11,SEO_Product,Organic Search,1320,101,10.07,14
CAMP00000179,100179,2023-06-11,Facebook_Conversion,Facebook Ads,15713,664,443.2,25
CAMP00000180,100180,2026-04-20,Facebook_Conversion,Facebook Ads,1719,41,15.89,1
CAMP00000181,100181,2025-07-08,Facebook_Retargeting,Facebook Ads,4945,131,151.23,5
CAMP00000182,100182,2023-11-06,Referral_Partner,Referral,908,197,65.51,41
CAMP00000183,100183,2022-07-22,Google_Display,Google Ads,13873,1067,2105.7,60
CAMP00000184,100184,2023-08-19,Facebook_LeadGen,Facebook Ads,15071,655,255.07,41
CAMP00000185,100185,2024-05-19,Referral_Invite,Referral,1165,326,14.41,64
CAMP00000186,100186,2022-10-21,SEO_Brand,Organic Search,15400,700,150.57,55
CAMP00000187,100187,2024-07-17,Instagram_Stories,Instagram,8481,336,135.71,20
CAMP00000188,100188,2022-01-01,Instagram_Influencer,Instagram,7288,216,91.75,13
CAMP00000189,100189,2025-12-25,Facebook_Conversion,Facebook Ads,592,13,15.45,1
CAMP00000190,100190,2025-12-27,Facebook_LeadGen,Facebook Ads,6217,113,47.3,7
CAMP00000191,100191,2023-06-13,Google_Search,Google Ads,19795,914,812.62,46
CAMP00000192,100192,2024-09-29,Instagram_Stories,Instagram,17738,316,185.24,8
CAMP00000193,100193,2026-03-30,SEO_Content,Organic Search,19953,928,113.71,97
CAMP00000194,100194,2022-12-07,Referral_Partner,Referral,1117,179,13.07,35
CAMP00000195,100195,2024-10-09,Referral_Invite,Referral,923,218,36.85,37
CAMP00000196,100196,2022-08-04,Facebook_LeadGen,Facebook Ads,5360,90,78.28,3
CAMP00000197,100197,2025-06-17,Facebook_Retargeting,Facebook Ads,11155,294,166.23,15
CAMP00000198,100198,2023-08-19,Referral_Partner,Referral,931,111,35.61,22
CAMP00000199,100199,2025-07-08,Facebook_Retargeting,Facebook Ads,7545,210,141.21,13
CAMP00000200,100200,2024-10-10,Email_ProductUpdate,Email,3466,522,21.78,47
CAMP00000201,100201,2025-05-21,SEO_Brand,Organic Search,16040,706,20.32,95
CAMP00000202,100202,2023-01-20,Google_Display,Google Ads,4763,275,482.54,20
CAMP00000203,100203,2022-10-31,Facebook_Retargeting,Facebook Ads,4505,123,141.08,7
CAMP00000204,100204,2024-01-23,Referral_Partner,Referral,155,45,6.72,8
CAMP00000205,100205,2026-04-05,SEO_Brand,Organic Search,16300,871,145.74,60
CAMP00000206,100206,2022-11-03,LinkedIn_LeadGen,LinkedIn,19312,442,1282.87,41
CAMP00000207,100207,2024-12-16,Instagram_Influencer,Instagram,18743,293,255.52,19
CAMP00000208,100208,2026-05-06,Google_Search,Google Ads,6411,279,660.29,23
CAMP00000209,100209,2024-12-11,LinkedIn_B2B,LinkedIn,6444,292,730.57,30
CAMP00000210,100210,2022-01-01,Facebook_Retargeting,Facebook Ads,1504,26,16.6,1
CAMP00000211,100211,2025-04-27,Google_Display,Google Ads,5657,274,581.05,22
CAMP00000212,100212,2023-10-08,SEO_Content,Organic Search,3283,305,31.12,22
CAMP00000213,100213,2024-09-25,Google_Display,Google Ads,15019,947,1469.25,65
CAMP00000214,100214,2022-02-01,Google_Search,Google Ads,17288,617,790.7,40
CAMP00000215,100215,2022-07-28,LinkedIn_SaaS,LinkedIn,16445,549,1126.16,46
CAMP00000216,100216,2023-12-26,Referral_Program,Referral,65,9,2.9,2
CAMP00000217,100217,2026-08-22,LinkedIn_LeadGen,LinkedIn,4431,67,129.93,8
CAMP00000218,100218,2026-06-29,Google_Remarketing,Google Ads,8040,442,959.38,39
CAMP00000219,100219,2023-09-20,Instagram_Stories,Instagram,1886,48,14.8,2
CAMP00000220,100220,2023-04-26,SEO_Content,Organic Search,14566,1083,75.98,134
CAMP00000221,100221,2022-04-29,Google_Display,Google Ads,6131,429,950.0,33
CAMP00000222,100222,2023-04-10,Google_Display,Google Ads,3387,175,269.61,8
CAMP00000223,100223,2025-02-23,Instagram_Influencer,Instagram,3077,76,38.35,2
CAMP00000224,100224,2022-06-01,Referral_Program,Referral,206,41,10.54,4
CAMP00000225,100225,2022-06-14,Facebook_LeadGen,Facebook Ads,5339,117,55.87,3
CAMP00000226,100226,2026-01-19,Instagram_Reels,Instagram,2969,57,35.37,3
CAMP00000227,100227,2024-08-29,Google_Remarketing,Google Ads,19488,1022,1798.35,97
CAMP00000228,100228,2026-07-10,Google_Remarketing,Google Ads,11090,811,856.92,62
CAMP00000229,100229,2022-05-20,LinkedIn_LeadGen,LinkedIn,14990,556,1656.07,68
CAMP00000230,100230,2026-03-27,SEO_Content,Organic Search,2931,171,8.56,17
CAMP00000231,100231,2024-12-24,Google_Remarketing,Google Ads,3458,210,333.19,14
CAMP00000232,100232,2026-04-01,Email_Promotion,Email,536,83,3.19,14
CAMP00000233,100233,2022-08-31,Facebook_Retargeting,Facebook Ads,5443,238,245.11,10
CAMP00000234,100234,2022-08-25,Referral_Invite,Referral,222,44,4.51,5
CAMP00000235,100235,2025-08-30,Instagram_Influencer,Instagram,17629,533,500.2,22
CAMP00000236,100236,2024-08-19,Google_Display,Google Ads,11587,740,1385.66,31
CAMP00000237,100237,2025-01-20,SEO_Brand,Organic Search,11303,516,51.04,62
CAMP00000238,100238,2022-11-14,Referral_Partner,Referral,357,59,3.99,11
CAMP00000239,100239,2023-05-28,Facebook_Retargeting,Facebook Ads,13343,251,94.44,14
CAMP00000240,100240,2024-11-29,Facebook_LeadGen,Facebook Ads,11263,443,463.41,24
CAMP00000241,100241,2025-05-04,SEO_Content,Organic Search,17748,809,57.01,97
CAMP00000242,100242,2024-05-07,Facebook_Conversion,Facebook Ads,7518,189,89.36,11
CAMP00000243,100243,2023-03-06,SEO_Brand,Organic Search,3028,174,22.58,22
CAMP00000244,100244,2024-12-17,LinkedIn_SaaS,LinkedIn,1736,66,200.98,8
CAMP00000245,100245,2026-03-08,Email_ProductUpdate,Email,1463,157,11.52,28
CAMP00000246,100246,2026-01-29,Referral_Partner,Referral,946,102,36.2,15
CAMP00000247,100247,2025-10-25,Google_Display,Google Ads,15210,634,1547.92,34
CAMP00000248,100248,2023-01-22,SEO_Product,Organic Search,6857,425,89.01,61
CAMP00000249,100249,2025-12-22,SEO_Product,Organic Search,16979,1216,286.19,178
CAMP00000250,100250,2023-09-27,SEO_Product,Organic Search,2209,173,14.83,23
CAMP00000251,100251,2024-03-01,Email_Promotion,Email,1221,156,6.02,26
CAMP00000252,100252,2025-10-03,Google_Display,Google Ads,3505,271,424.63,14
CAMP00000253,100253,2025-08-12,SEO_Brand,Organic Search,14095,608,64.24,63
CAMP00000254,100254,2024-01-24,Facebook_Conversion,Facebook Ads,1423,34,32.07,1
CAMP00000255,100255,2024-06-06,SEO_Brand,Organic Search,5008,211,32.52,30
CAMP00000256,100256,2024-11-01,Email_Promotion,Email,4042,631,7.22,50
CAMP00000257,100257,2024-06-17,SEO_Brand,Organic Search,18483,1782,242.95,204
CAMP00000258,100258,2022-08-29,SEO_Product,Organic Search,4492,192,33.27,18
CAMP00000259,100259,2023-05-20,Email_ProductUpdate,Email,4591,380,5.71,53
CAMP00000260,100260,2023-03-24,LinkedIn_B2B,LinkedIn,12061,282,891.38,26
CAMP00000261,100261,2022-05-10,Facebook_Retargeting,Facebook Ads,12316,209,158.13,10
CAMP00000262,100262,2023-11-08,Instagram_Influencer,Instagram,1166,28,20.35,1
CAMP00000263,100263,2022-02-02,SEO_Product,Organic Search,1032,63,5.32,4
CAMP00000264,100264,2025-04-16,Instagram_Influencer,Instagram,11395,208,104.81,8
CAMP00000265,100265,2025-01-19,SEO_Brand,Organic Search,15724,1554,64.98,160
CAMP00000266,100266,2023-03-26,Email_ProductUpdate,Email,502,65,0.72,5
CAMP00000267,100267,2025-03-22,SEO_Product,Organic Search,17388,1110,76.21,148
CAMP00000268,100268,2023-03-08,Email_Welcome,Email,2543,357,17.41,62
CAMP00000269,100269,2022-01-12,LinkedIn_LeadGen,LinkedIn,14818,683,2552.09,81
CAMP00000270,100270,2022-05-14,SEO_Product,Organic Search,6621,461,96.36,48
CAMP00000271,100271,2025-11-25,SEO_Brand,Organic Search,14410,644,124.6,73
CAMP00000272,100272,2025-07-06,SEO_Brand,Organic Search,3123,186,25.25,16
CAMP00000273,100273,2022-04-26,Instagram_Influencer,Instagram,15045,357,322.2,9
CAMP00000274,100274,2023-04-03,Google_Remarketing,Google Ads,14752,645,1555.38,63
CAMP00000275,100275,2022-05-17,LinkedIn_SaaS,LinkedIn,13810,382,1221.84,47
CAMP00000276,100276,2022-02-04,Referral_Program,Referral,342,92,9.37,18
CAMP00000277,100277,2023-11-01,Email_Promotion,Email,3200,453,3.64,87
CAMP00000278,100278,2022-05-12,Google_Display,Google Ads,12690,662,684.56,29
CAMP00000279,100279,2024-11-07,SEO_Product,Organic Search,10801,852,51.04,70
CAMP00000280,100280,2023-04-18,Google_Remarketing,Google Ads,13180,997,2111.09,46
CAMP00000281,100281,2023-07-03,Google_Display,Google Ads,7531,601,1417.17,34
CAMP00000282,100282,2025-09-17,Google_Search,Google Ads,4518,166,181.52,7
CAMP00000283,100283,2024-08-30,Google_Display,Google Ads,3376,238,589.57,23
CAMP00000284,100284,2023-02-22,Google_Display,Google Ads,2627,151,197.8,8
CAMP00000285,100285,2025-01-04,Facebook_Retargeting,Facebook Ads,6204,240,98.21,11
CAMP00000286,100286,2022-09-22,Email_Welcome,Email,2139,458,16.6,38
CAMP00000287,100287,2025-12-27,SEO_Content,Organic Search,4752,364,46.07,24
CAMP00000288,100288,2025-02-20,Google_Display,Google Ads,17725,895,1590.71,57
CAMP00000289,100289,2025-03-22,Referral_Invite,Referral,1365,156,18.12,26
CAMP00000290,100290,2024-07-31,Instagram_Influencer,Instagram,19760,386,221.74,26
CAMP00000291,100291,2023-04-14,Referral_Program,Referral,304,61,7.47,8
CAMP00000292,100292,2026-05-19,Google_Display,Google Ads,17503,1308,1603.65,118
CAMP00000293,100293,2024-08-06,Google_Remarketing,Google Ads,9493,344,587.18,20
CAMP00000294,100294,2026-06-26,Referral_Partner,Referral,395,86,8.5,16
CAMP00000295,100295,2024-03-16,SEO_Content,Organic Search,11563,1047,111.46,115
CAMP00000296,100296,2023-01-24,Email_Promotion,Email,4924,615,30.22,64
CAMP00000297,100297,2022-07-13,SEO_Product,Organic Search,18377,1054,162.14,153
CAMP00000298,100298,2022-06-27,LinkedIn_LeadGen,LinkedIn,10246,316,598.88,36
CAMP00000299,100299,2025-08-29,Email_ProductUpdate,Email,4004,459,16.45,70
CAMP00000300,100300,2024-05-09,Email_ProductUpdate,Email,3466,354,12.12,44
CAMP00000301,100301,2023-12-13,Referral_Program,Referral,597,113,8.85,13
CAMP00000302,100302,2024-04-20,Instagram_Influencer,Instagram,14201,301,111.3,19
CAMP00000303,100303,2024-04-11,Google_Remarketing,Google Ads,10747,424,1057.09,21
CAMP00000304,100304,2024-07-31,SEO_Product,Organic Search,10610,741,73.5,50
CAMP00000305,100305,2026-01-26,SEO_Brand,Organic Search,19615,1199,198.36,77
CAMP00000306,100306,2022-04-01,Email_Promotion,Email,4055,521,5.35,42
CAMP00000307,100307,2025-10-03,SEO_Content,Organic Search,12485,1071,119.2,99
CAMP00000308,100308,2025-08-25,LinkedIn_LeadGen,LinkedIn,18628,467,1226.29,42
CAMP00000309,100309,2025-07-30,LinkedIn_LeadGen,LinkedIn,4393,85,206.8,5
CAMP00000310,100310,2022-07-11,Google_Remarketing,Google Ads,12480,845,1407.35,43
CAMP00000311,100311,2022-04-19,Instagram_Reels,Instagram,1984,31,26.44,1
CAMP00000312,100312,2024-03-19,SEO_Product,Organic Search,5380,410,40.98,43
CAMP00000313,100313,2026-01-26,Google_Display,Google Ads,10305,615,1024.91,43
CAMP00000314,100314,2023-11-11,Google_Remarketing,Google Ads,18945,852,1215.13,75
CAMP00000315,100315,2026-06-07,Facebook_Conversion,Facebook Ads,14149,459,437.33,27
CAMP00000316,100316,2022-07-21,Facebook_Retargeting,Facebook Ads,1373,45,40.05,1
CAMP00000317,100317,2023-05-01,SEO_Content,Organic Search,19427,1042,127.78,67
CAMP00000318,100318,2023-01-05,Facebook_Retargeting,Facebook Ads,12958,251,82.43,13
CAMP00000319,100319,2022-12-26,SEO_Content,Organic Search,4101,210,20.91,20
